qid	text_a	text_b	label
0	sushi	Serves really good sushi.	1
1	portions	Not the biggest portions but adequate.	2
2	Green Tea creme brulee	Green Tea creme brulee is a must!	1
3	place	– I can't say enough about this place.	1
4	sushi	It has great sushi and even better service.	1
5	service	It has great sushi and even better service.	1
6	staff	The entire staff was extremely accomodating and tended to my every need.	1
7	restaurant	I've been to this restaurant over a dozen times with no complaints to date.	1
8	owner	The owner is belligerent to guests that have a complaint.	0
9	food	Good food!	1
10	meal	This is a great place to get a delicious meal.	1
11	staff	The staff is pretty friendly.	1
12	onion rings	The onion rings are great!	1
13	food	– I was highly disappointed in the food at Pagoda.	0
14	lemon chicken	The lemon chicken tasted like sticky sweet donuts and the honey walnut prawns, the few they actually give you.....were not good.	0
15	honey walnut prawns	The lemon chicken tasted like sticky sweet donuts and the honey walnut prawns, the few they actually give you.....were not good.	0
16	ambience	Nice ambience, but highly overrated place.	1
17	place	Nice ambience, but highly overrated place.	0
18	Service	Worst Service I Ever Had	1
19	service	Everyone that sat in the back outside agreed that it was the worst service we had ever received.	0
20	waiter	Our waiter was non-existent and after our food finally arrived over an hour after we ordered, we were not given any water or utensils.	0
21	manager	I complained to the manager, but he was not even apologetic.	0
22	Italian Food	Fabulous Italian Food!	1
23	Mioposto	– I highly recommend Mioposto.	1
24	Italian restaurant	I am so happy to have a wonderful Italian restaurant in my neighborhood.	1
25	wine list	The wine list is wonderful and the food reminds me of my recent trip to Italy.	1
26	food	The wine list is wonderful and the food reminds me of my recent trip to Italy.	1
27	restaurant	I love this restaurant	1
28	meal	– I will never forget the amazing meal, service, and ambiance I experience at this restaurant.	1
29	service	– I will never forget the amazing meal, service, and ambiance I experience at this restaurant.	1
30	ambiance	– I will never forget the amazing meal, service, and ambiance I experience at this restaurant.	1
31	wine list	The wine list is incredible and extensive and diverse, the food is all incredible and the staff was all very nice, good at their jobs and cultured.	1
32	food	The wine list is incredible and extensive and diverse, the food is all incredible and the staff was all very nice, good at their jobs and cultured.	1
33	staff	The wine list is incredible and extensive and diverse, the food is all incredible and the staff was all very nice, good at their jobs and cultured.	1
34	place	I have not a bad thing to say about this place.	1
35	food	The food was great!	1
36	Kafta plate	I had the Kafta plate and it was perfect.	1
37	meal	Finally a meal that you will remember for a long time!	1
38	food	– In a age of incremental cost cutting in restaurants, its nice to see a place that bucks that trend, and just plain delivers high quality food and good service, period.	1
39	service	– In a age of incremental cost cutting in restaurants, its nice to see a place that bucks that trend, and just plain delivers high quality food and good service, period.	1
40	place	This is the place to relax and enjoy the finest quality food the industry can offer.	1
41	food	This is the place to relax and enjoy the finest quality food the industry can offer.	1
42	atmosphere	I liked the atmosphere very much but the food was not worth the price.	1
43	food	I liked the atmosphere very much but the food was not worth the price.	0
44	Rice	Rice is too dry, tuna wasn't so fresh either.	0
45	tuna	Rice is too dry, tuna wasn't so fresh either.	0
46	fish	I have eaten here three times and have found the quality and variety of the fish to be excellent.	1
47	service	However, the value and service are both severely lacking.	0
48	fish	Furthermore, while the fish is unquestionably fresh, rolls tend to be inexplicably bland.	1
49	rolls	Furthermore, while the fish is unquestionably fresh, rolls tend to be inexplicably bland.	0
50	service	The service ranges from mediocre to offensive.	0
51	waiter	On a recent trip, our waiter was extremely dismissive, while no less than three staff members waited hand-and-foot on a pair of Japanese girls seated nearby.	0
52	staff members	On a recent trip, our waiter was extremely dismissive, while no less than three staff members waited hand-and-foot on a pair of Japanese girls seated nearby.	0
53	sushi	Freshest sushi  – I love this restaurant.	1
54	restaurant	Freshest sushi  – I love this restaurant.	1
55	miso soup	They pay such detail to everything from miso soup to complex rolls.	1
56	rolls	They pay such detail to everything from miso soup to complex rolls.	1
57	sashimi	The sashimi was the freshest and most tender I have ever tasted.	1
58	apps	Their apps are all delicious.	1
59	place	The only drawback is that this place is really expensive and the portions are on the small side.	0
60	portions	The only drawback is that this place is really expensive and the portions are on the small side.	0
61	space	But the space is small and lovely, and the service is helpful.	1
62	service	But the space is small and lovely, and the service is helpful.	1
63	food	– The food was not great & the waiters were rude.	0
64	waiters	– The food was not great & the waiters were rude.	0
65	service	great service	1
66	bus boy	the bus boy even spotted that my table was shaking a stabilized it for me.	1
67	food	food was fine, with a some little-tastier-than-normal salsa.	1
68	salsa	food was fine, with a some little-tastier-than-normal salsa.	1
69	food	the food was great, the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me.	1
70	margaritas	the food was great, the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me.	1
71	waitress	the food was great, the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me.	0
72	pizza place	Mama Mia – I live in the neighborhood and feel lucky to live by such a great pizza place.	1
73	pizza	the only problem is you really have to warm up the pizza before it's edible, even when you order ahead.	0
74	Sushi	Best Sushi in town.	1
75	calamari	The best calamari in Seattle!	1
76	deck	– ...and the best summertime deck experience--they will even bring you a blanket if you get cold in the Seattle evening weather.	1
77	place	A perfect place to take out of town guests any time of the year.	1
78	music	Endless fun, awesome music, great staff!!!	1
79	staff	Endless fun, awesome music, great staff!!!	1
80	bar	– By far the best bar in the east village...	1
81	bartender	Every time 0-sixtynine is called the bartender buys everyone drinks!	1
82	pizza	Great draft and bottle selection and the pizza rocks.	1
83	draft and bottle selection	Great draft and bottle selection and the pizza rocks.	1
84	jukebox's	Definitely has one of the best jukebox's i've seen in a long long time.	1
85	food	The food is great, the bartenders go that extra mile.	1
86	bartenders	The food is great, the bartenders go that extra mile.	1
87	owners	The owners are great fun and the beer selection is worth staying for.	1
88	beer selection	The owners are great fun and the beer selection is worth staying for.	1
89	upstairs	And the upstairs is a great place to hang out.	1
90	balconey	Not alot of smoking places left in New York, but I have found my favorite smoking balconey in the city.	1
91	sushi	The sushi here is delicious!	1
92	fish	They have a wide variety of fish and they even list which oceans they come from; Atlantic or Pacific.	1
93	Jellyfish	I've had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.	1
94	Horse Mackerel	I've had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.	1
95	Blue Fin Tuna	I've had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.	1
96	Sake Ikura roll	I've had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.	1
97	pieces	My only negative comment is that I wish the pieces were a little bigger.	0
98	decor	The decor is rustic, traditional Japanese.	2
99	crowd	The crowd is mixed yuppies, young and old.	2
100	service	The service was courteous and attentive.	1
101	food	Mediocre food	2
102	menu	The outside patio area has an abbreviated menu.	2
103	food	My g/f and I both agreed the food was very mediocre especially considering the price.	0
104	place	We are locals, and get the feeling the only way this place survives with such average food is because most customers are probably one-time customer tourists.	0
105	Service	Service was decent.	2
106	Drinks	Drinks were good.	1
107	drinks	Unless you are just stopping in for a few drinks I wouldn't recommend going here.	1
108	food	Excellent food, nice ambience, fairly expensive	1
109	ambience	Excellent food, nice ambience, fairly expensive	1
